								
p10412	Histone H1.4	H1	Homo sapiens	2	q13185	Chromobox protein homolog 3	Chromo	Homo sapiens
p10412	Histone H1.4	H1	Homo sapiens	3	q13185	Chromobox protein homolog 3	Chromo	Homo sapiens
p16401	Histone H1.5	H1	Homo sapiens	3	q9y468	Lethal(3)malignant brain tumor-like protein 1	MBT	Homo sapiens
p10412	Histone H1.4	H1	Homo sapiens	4	q13185	Chromobox protein homolog 3	Chromo	Homo sapiens
p16401	Histone H1.5	H1	Homo sapiens	4	q9y468	Lethal(3)malignant brain tumor-like protein 1	MBT	Homo sapiens
p10412	Histone H1.4	H1	Homo sapiens	5	q13185	Chromobox protein homolog 3	Chromo	Homo sapiens
p10412	Histone H1.4	H1	Homo sapiens	6	q13185	Chromobox protein homolog 3	Chromo	Homo sapiens
p10412	Histone H1.4	H1	Homo sapiens	7	q13185	Chromobox protein homolog 3	Chromo	Homo sapiens
p10412	Histone H1.4	H1	Homo sapiens	8	q13185	Chromobox protein homolog 3	Chromo	Homo sapiens
p10412	Histone H1.4	H1	Homo sapiens	10	q13185	Chromobox protein homolog 3	Chromo	Homo sapiens
p0c0s8	Histone H2A type 1	H2A	Homo sapiens	1	p55201	Peregrin	Bromo_brd1_like	Homo sapiens
p16104	Histone H2AX	H2A	Homo sapiens	1	p17693	HLA class I histocompatibility antigen, alpha chain G	MHC_I	Homo sapiens
p16104	Histone H2AX	H2A	Homo sapiens	2	q8nem0	Microcephalin	BRCT	Homo sapiens
p0c0s8	Histone H2A type 1	H2A	Homo sapiens	2	p55201	Peregrin	Bromo_brd1_like	Homo sapiens
p16104	Histone H2AX	H2A	Homo sapiens	2	p17693	HLA class I histocompatibility antigen, alpha chain G	MHC_I	Homo sapiens
p0c0s5	Histone H2A.Z	H2A	Homo sapiens	2	q15906	Vacuolar protein sorting-associated protein 72 homolog	YL1	Homo sapiens
p16104	Histone H2AX	H2A	Homo sapiens	3	q8nem0	Microcephalin	BRCT	Homo sapiens
p0c0s8	Histone H2A type 1	H2A	Homo sapiens	3	p55201	Peregrin	Bromo_brd1_like	Homo sapiens
o75367	Core histone macro-H2A.1	H2A	Homo sapiens	3	o43791	Speckle-type POZ protein	MATH_SPOP	Homo sapiens
p16104	Histone H2AX	H2A	Homo sapiens	3	p17693	HLA class I histocompatibility antigen, alpha chain G	MHC_I	Homo sapiens
p0c0s5	Histone H2A.Z	H2A	Homo sapiens	3	q15906	Vacuolar protein sorting-associated protein 72 homolog	YL1	Homo sapiens
p0c0s8	Histone H2A type 1	H2A	Homo sapiens	4	p55201	Peregrin	Bromo_brd1_like	Homo sapiens
o75367	Core histone macro-H2A.1	H2A	Homo sapiens	4	o43791	Speckle-type POZ protein	MATH_SPOP	Homo sapiens
p16104	Histone H2AX	H2A	Homo sapiens	4	p17693	HLA class I histocompatibility antigen, alpha chain G	MHC_I	Homo sapiens
o75367	Core histone macro-H2A.1	H2A	Homo sapiens	5	o43791	Speckle-type POZ protein	MATH_SPOP	Homo sapiens
q9btm1	Histone H2A.J	H2A	Homo sapiens	5	q9uqr0	Sex comb on midleg-like protein 2	MBT	Homo sapiens
p16104	Histone H2AX	H2A	Homo sapiens	5	p17693	HLA class I histocompatibility antigen, alpha chain G	MHC_I	Homo sapiens
p16104	Histone H2AX	H2A	Homo sapiens	5	q6zw49	PAX-interacting protein 1	RTT107_BRCT_5	Homo sapiens
p0c0s5	Histone H2A.Z	H2A	Homo sapiens	5	q15906	Vacuolar protein sorting-associated protein 72 homolog	YL1	Homo sapiens
p0c0s8	Histone H2A type 1	H2A	Homo sapiens	6	p55201	Peregrin	Bromo_brd1_like	Homo sapiens
o75367	Core histone macro-H2A.1	H2A	Homo sapiens	6	o43791	Speckle-type POZ protein	MATH_SPOP	Homo sapiens
q9btm1	Histone H2A.J	H2A	Homo sapiens	6	q9uqr0	Sex comb on midleg-like protein 2	MBT	Homo sapiens
